,日数,日付,体重,差分,体脂肪率,BMI
0,0,2017-07-16,81.5,0.0,24.9,27.07438
1,1,2017-07-17,80.7,0.8,24.7,26.80863
2,2,2017-07-18,81.3,-0.6,24.6,27.00795
3,3,2017-07-19,80.2,0.5,24.3,26.64253
4,4,2017-07-20,80.0,1.5,24.4,26.57609
